照片名称,拍摄时间,经度,纬度
img_0321.jpg,2017:12:15 09:29:24,111.23659444444445,39.90623055555555
img_0323.jpg,2017:12:15 09:33:54,111.249375,39.912705555555554
img_0326.jpg,2017:12:15 09:35:58,111.255325,39.91888055555555
img_0327.jpg,2017:12:15 09:39:22,111.25435,39.93384444444444
img_0331.jpg,2017:12:15 09:44:23,111.25416666666666,39.93520833333333
img_0332.jpg,2017:12:15 09:56:42,111.26610555555555,39.984208333333335
img_0333.jpg,2017:12:15 09:58:02,111.26841666666667,39.987719444444444
img_0334.jpg,2017:12:15 09:58:06,111.26841666666667,39.987719444444444
img_0336.jpg,2017:12:15 10:02:45,111.26934166666666,39.98909444444445
img_0339.jpg,2017:12:15 10:03:43,111.26949444444445,39.989330555555554
img_0340.jpg,2017:12:15 10:05:25,111.27111944444444,39.99182777777778
img_0345.jpg,2017:12:15 10:10:24,111.27231666666667,39.99863333333334
img_0347.jpg,2017:12:15 10:17:27,111.27306388888888,40.00581666666667
img_0350.jpg,2017:12:15 10:19:12,111.27446111111111,40.015972222222224
img_0351.jpg,2017:12:15 10:20:29,111.27040833333334,40.02460555555555
img_0356.jpg,2017:12:15 12:01:34,111.27009444444444,40.024525
img_0359.jpg,2017:12:15 12:02:57,111.27349166666667,40.01703333333333
img_0360.jpg,2017:12:15 12:03:15,111.27423055555555,40.01591944444444
img_0361.jpg,2017:12:15 12:03:19,111.27471111111112,40.01441111111111
img_0364.jpg,2017:12:15 12:03:58,111.27441388888889,40.010197222222224
img_0366.jpg,2017:12:15 12:05:22,111.27172777777778,40.00168611111111
img_0367.jpg,2017:12:15 12:05:26,111.27172777777778,40.00168611111111
img_0369.jpg,2017:12:15 12:06:57,111.27176666666666,40.00103333333333
img_0370.jpg,2017:12:15 12:09:12,111.27166666666666,39.993430555555555
img_0371.jpg,2017:12:15 12:09:20,111.271125,39.99228611111111
img_0373.jpg,2017:12:15 12:09:46,111.26902777777778,39.98916944444444
img_0374.jpg,2017:12:15 12:10:04,111.26771666666667,39.987186111111114
img_0377.jpg,2017:12:15 12:10:19,111.26654722222223,39.98531666666667
img_0382.jpg,2017:12:15 12:11:33,111.26060555555556,39.97651388888889
img_0388.jpg,2017:12:15 12:14:40,111.24818333333333,39.957569444444445
img_0390.jpg,2017:12:15 12:16:47,111.24814722222223,39.95025277777778
img_0391.jpg,2017:12:15 12:17:10,111.24935833333333,39.947113888888886
img_0392.jpg,2017:12:15 12:17:45,111.251175,39.94199444444444
img_0394.jpg,2017:12:15 12:19:39,111.25585833333334,39.928805555555556
img_0395.jpg,2017:12:15 12:19:43,111.25585833333334,39.928805555555556
img_0397.jpg,2017:12:15 12:23:21,111.25570555555555,39.92857222222222
img_0398.jpg,2017:12:15 12:23:25,111.25638611111111,39.923716666666664
img_0399.jpg,2017:12:15 12:23:36,111.2562638888889,39.92223333333333
img_0400.jpg,2017:12:15 12:24:11,111.2536,39.916580555555555
img_0402.jpg,2017:12:15 12:25:01,111.24468888888889,39.910494444444446
img_0403.jpg,2017:12:15 12:25:37,111.23673333333333,39.906702777777774
img_0404.jpg,2017:12:15 12:26:17,111.23497777777777,39.90054722222222
