照片名称,拍摄时间,经度,纬度
img_5427.jpg,undefined,111.24472777777778,39.868625
img_5428.jpg,undefined,111.24472777777778,39.868625
img_5429.jpg,undefined,111.24472777777778,39.868625
img_5430.jpg,undefined,111.24456111111111,39.86905
img_5431.jpg,undefined,111.244575,39.86906944444444
img_5432.jpg,undefined,111.24448333333333,39.86942222222222
img_5434.jpg,undefined,111.24445277777778,39.86971944444444
img_5435.jpg,undefined,111.24455277777778,39.870333333333335
img_5436.jpg,undefined,111.24454444444444,39.87032777777778
img_5437.jpg,undefined,111.24451388888889,39.87036111111111
img_5441.jpg,undefined,111.24459166666666,39.87063333333333
img_5442.jpg,undefined,111.24456111111111,39.870647222222225
img_5446.jpg,undefined,111.24482777777777,39.871386111111114
img_5447.jpg,undefined,111.24499444444444,39.871900000000004
img_5451.jpg,undefined,111.24515555555556,39.872413888888886
img_5452.jpg,undefined,111.24511666666666,39.872416666666666
img_5453.jpg,undefined,111.24553055555556,39.87308888888889
img_5454.jpg,undefined,111.24563611111111,39.873047222222226
img_5455.jpg,undefined,111.24563611111111,39.87305555555555
img_5460.jpg,undefined,111.2455,39.87366388888889
img_5464.jpg,undefined,111.24584166666666,39.873936111111114
img_5465.jpg,undefined,111.24583333333334,39.873925
img_5469.jpg,undefined,111.245575,39.87633611111111
img_5470.jpg,undefined,111.24541388888889,39.877266666666664
img_5471.jpg,undefined,111.2454,39.87727777777778
img_5472.jpg,undefined,111.2454,39.87727777777778
img_5474.jpg,undefined,111.24528611111111,39.878594444444445
img_5475.jpg,undefined,111.24529166666667,39.879733333333334
img_5476.jpg,undefined,111.2452611111111,39.87968055555556
img_5477.jpg,undefined,111.24527777777777,39.87969722222222
img_5478.jpg,undefined,111.24531666666667,39.87975277777778
img_5479.jpg,undefined,111.2453,39.879780555555556
img_5480.jpg,undefined,111.24532222222223,39.879844444444444
img_5482.jpg,undefined,111.24532222222223,39.88052777777778
img_5484.jpg,undefined,111.24532222222223,39.88083611111111
img_5485.jpg,undefined,111.24533055555555,39.880825
img_5486.jpg,undefined,111.24585833333333,39.88236666666667
img_5487.jpg,undefined,111.24585,39.88236111111111
img_5489.jpg,undefined,111.24597222222222,39.88259444444444
img_5490.jpg,undefined,111.24597222222222,39.88259444444444
img_5491.jpg,undefined,111.24597222222222,39.88259444444444
img_5493.jpg,undefined,111.24563611111111,39.885105555555555
img_5494.jpg,undefined,111.24553055555556,39.88605
img_5495.jpg,undefined,111.24553055555556,39.88605
img_5496.jpg,undefined,111.245475,39.88601944444444
img_5497.jpg,undefined,111.2453388888889,39.886544444444446
img_5498.jpg,undefined,111.2453388888889,39.886544444444446
img_5499.jpg,undefined,111.2453388888889,39.886544444444446
img_5500.jpg,undefined,111.24530833333334,39.88784444444445
img_5501.jpg,undefined,111.24530833333334,39.88784444444445
img_5502.jpg,undefined,111.2453,39.88885
img_5503.jpg,undefined,111.24526944444445,39.890430555555554
img_5504.jpg,undefined,111.24526944444445,39.890430555555554
img_5505.jpg,undefined,111.24439166666667,39.893680555555555
img_5506.jpg,undefined,111.24439166666667,39.893680555555555
img_5507.jpg,undefined,111.24439166666667,39.893680555555555
img_5508.jpg,undefined,111.24430833333334,39.89403055555555
img_5509.jpg,undefined,111.24430833333334,39.89403055555555
img_5510.jpg,undefined,111.243775,39.89556944444444
img_5511.jpg,undefined,111.2433861111111,39.89686944444444
img_5512.jpg,undefined,111.2433861111111,39.89686944444444
img_5513.jpg,undefined,111.2433861111111,39.89686944444444
img_5515.jpg,undefined,111.24328611111112,39.89693055555556
img_5516.jpg,undefined,111.24328611111112,39.89693055555556
img_5520.jpg,undefined,111.24498055555556,39.89951666666666
img_5598.jpg,2017:12:15 09:25:53,111.23586388888889,39.898424999999996
img_5600.jpg,2017:12:15 09:32:19,111.24346944444444,39.90976666666666
img_5601.jpg,2017:12:15 09:32:40,111.24498055555556,39.910405555555556
img_5602.jpg,2017:12:15 09:33:09,111.24690277777778,39.91121388888889
img_5603.jpg,2017:12:15 09:33:32,111.24831388888889,39.91198611111111
img_5604.jpg,2017:12:15 09:33:38,111.24866388888888,39.91213888888889
img_5605.jpg,2017:12:15 09:33:58,111.24955,39.912675
img_5606.jpg,2017:12:15 09:34:07,111.24980277777777,39.912841666666665
img_5607.jpg,2017:12:15 09:34:25,111.25060277777777,39.91343055555556
img_5608.jpg,2017:12:15 09:34:27,111.25071666666666,39.913516666666666
img_5609.jpg,2017:12:15 09:34:45,111.25186944444444,39.91446388888889
img_5610.jpg,2017:12:15 09:34:49,111.25210555555556,39.91467222222222
img_5611.jpg,2017:12:15 09:35:06,111.25305833333333,39.915638888888886
img_5612.jpg,2017:12:15 09:35:35,111.25444722222223,39.91736944444444
