location_x,location_y
0.0,0.0
-0.0024718773,-0.023415962
0.013612305,-0.070421517
0.024895258,-0.11869404
0.054707579,-0.2235335
0.076896042,-0.29530883
0.11023163,-0.4029676
0.15134829,-0.53716731
0.19245191,-0.66711485
0.23901108,-0.81329983
0.29882589,-0.99832308
0.34903964,-1.1543013
0.40149775,-1.3201127
0.4730722,-1.5603021
0.5235076,-1.716742
0.58599848,-1.9224703
0.64964503,-2.12712
0.69954234,-2.2917094
0.76367414,-2.4807289
0.81846821,-2.6523645
0.89304572,-2.8772328
0.95152134,-3.0516863
1.0135088,-3.2376812
1.0789744,-3.4333289
1.1291629,-3.5847225
1.2077645,-3.819458
1.2663509,-3.9841173
1.3203825,-4.1464658
1.3913529,-4.3464389
1.4474406,-4.5203075
1.5094134,-4.6983385
1.5863521,-4.9232597
1.6596839,-5.1204438
1.7844301,-5.4707284
1.8469338,-5.6470947
1.9043816,-5.8083663
1.9784039,-6.0135522
2.0360122,-6.1759777
2.1086535,-6.3831172
2.166497,-6.5399094
2.2251186,-6.7490959
2.2545156,-6.9163136
2.2650893,-7.1212673
2.2749975,-7.3036304
2.2857592,-7.5165701
2.2857592,-7.5165701
2.3002245,-7.7687917
2.3162637,-7.9963698
2.3286026,-8.207449
2.3422945,-8.3740129
2.3545885,-8.5561314
2.3657715,-8.756485
2.3802452,-8.9734392
2.3920097,-9.1389313
2.4040568,-9.3370695
2.4172978,-9.5247393
2.428616,-9.7068129
2.4419875,-9.9050255
2.4552319,-10.083935
2.4677036,-10.285159
2.4822607,-10.492825
2.4963331,-10.681134
2.5107038,-10.888356
2.5255837,-11.096277
2.538018,-11.27296
2.5514979,-11.437954
2.5665216,-11.64108
2.5804558,-11.832594
2.5962739,-12.051042
2.6061649,-12.220169
2.620044,-12.40127
2.632947,-12.610842
2.647172,-12.811155
2.6583374,-13.005253
2.6719725,-13.197852
2.6858194,-13.386797
2.6979411,-13.555015
2.7121532,-13.767352
2.7261508,-13.973259
2.7391095,-14.15544
2.7522218,-14.333581
2.7641971,-14.525633
2.77702,-14.727127
2.7911553,-14.923168
2.8029554,-15.105634
2.8172507,-15.314746
2.8316011,-15.49992
2.8425491,-15.671545
2.8569891,-15.871912
2.8708029,-16.090223
2.8827846,-16.270294
2.8979084,-16.47599
2.9104989,-16.660732
2.9231501,-16.848585
2.9376276,-17.046535
2.9504108,-17.240726
2.9625111,-17.425318
2.9748125,-17.608028
2.9869254,-17.820824
2.9992054,-18.012991
3.0153842,-18.245447
