landmark_x,landmark_y
-7.234007654574645,-10.002687227070112
0.031415692876051,-10.007986506300293
7.296839040326747,-10.013285785530474
10.947785294361971,14.984057924855168
0.04965027318592351,14.99200684370044
-10.848484747990117,14.99995576254571
-10.122056499859289,-7.114403936180081
15.16195501953894,10.651681440520122
6.848692450121143,15.27981198982026
-3.738765366947849,-10.210695172546478
-5.217871333869191,14.748730364145112
-16.673049241709883,14.105970684775238
-15.079956811156082,-10.769777811506257
-36.41988384758523,8.247156457425312
-31.63675099525159,8.53806241942129
-46.14392757288273,7.708938939113102
-40.03485987353525,8.070622469008365
-39.98766627783727,-16.954317258535077
-50.287044280152244,7.5650792048016635
-55.13203146738057,-17.659739312496704
-33.35867633069046,-16.660416245641738
-45.40534012990022,-17.217016212773444
-54.484608011844486,7.3681413114079835
-58.68319218327496,7.17232838622737
-61.737636552076324,-17.98270272335332
-62.883313707610846,6.982152895082002
-68.31414605402368,-18.33422341862604
-67.11778919493862,6.750076897432507
-90.601551118483,5.610195141139709
-71.3063100149598,6.5386892745206
-74.956300485677,-18.650238513068647
-75.51308671227966,6.337713681127738
-81.54264396176535,-18.98933530087366
-79.74874497585084,6.132083894553652
-83.96074776685371,5.921200628734612
-121.59406253861357,-20.94755856134806
-108.03710048571006,4.774136104207336
-87.56640442341407,-19.283370205174887
-94.19501562623508,-19.609750025448026
-94.80324130045011,5.3941823708608245
-100.23723790453963,-19.900403773039255
-99.0039685948359,5.1969058074479895
-125.52652880133624,3.8968508792545666
-106.26480316115692,-20.19162960020233
-102.60320285277118,5.006858201678022
-147.52046020430478,-22.171636640586527
-112.27871813272543,4.5338152655395
-116.47749152677153,4.3417959014378225
-142.99100621548942,3.0374029103440505
-111.63390915292794,-20.465993263802623
-127.94069923001629,-21.269996782050203
-120.07748256052095,4.150271252342842
-129.7465592310861,3.680773393122975
-133.95942956934587,-21.562911618438186
-133.95969181216628,3.470195001301895
-173.39456092789436,-23.474421579567128
-160.44691826779228,2.1774504147378124
-137.52597788178855,3.288528510750448
-147.17498657364843,2.813741960723951
-139.31001384419034,-21.83210791862771
-151.37577299702008,2.6033444092415854
-153.78944581198698,-22.543639200473926
-177.87389299220845,1.297498051320707
-160.3781821139073,-22.874408332867468
-199.20378485342405,-24.761380371503968
-154.9267223843237,2.419877638332859
-164.58305159542826,1.95011420388182
-168.79610275789068,1.7476133609191682
-195.28259221190245,0.437161498041587
-165.74653975209074,-23.12843814060818
-179.64587712780968,-23.814459186433794
-172.389253240281,1.5794809323929557
-182.08359808421778,1.1115559851774361
-185.70955890206415,-24.098762456853102
-186.32816586096556,0.8924923976444812
-225.17022677279024,-26.01480674721995
-212.82779093855277,-0.3765116140105067
-189.96928944557433,0.7301764079577404
-199.64423971916926,0.2544997187935709
-191.14559190437384,-24.35361662155471
-205.6525495472908,-25.054868401663594
-203.84772318647094,0.06422247098958372
-230.32926407533353,-1.224315641703218
-211.6797333058363,-25.3482263859355
-251.106329834662,-27.28799521465584
-207.43086189240503,-0.10971712617106785
-217.08100034325741,-0.5807138516353045
-221.3086201824722,-0.7843705292656404
-247.78203941027562,-2.0751906150628106
-217.02430757802145,-25.603002820719833
-231.5065898350024,-26.315515903895214
-224.86933896148295,-0.9551704292615488
-234.5518701045056,-1.4341142555706807
-237.53546781398404,-26.598232527454886
-238.73559825596618,-1.6297234990667784
-276.9738007374618,-28.52728786042514
-265.21529201013385,-2.902707077960879
-242.31155195647293,-1.7954101293057618
-242.8885327106444,-26.85090615714572
-251.9734791909078,-2.2670325844557837
-257.3824357810448,-27.552719707916747
-256.16159214125287,-2.46526108135746
-282.6563542473234,-3.771480624022991
-263.97147926061245,-27.876640244924864
-302.8139650076504,-29.763541811929752
-259.7154379283046,-2.630172101131231
-269.3832858877089,-3.099093151633479
-273.577073853033,-3.29861423849269
-300.05444805335884,-4.592254880922581
-269.2896386884254,-28.121663558013978
-283.1665071529199,-28.797609463329188
-277.10924524253113,-3.4652804256787784
-286.76129702470377,-3.937740156966317
-289.77209210901674,-29.120985838483165
-290.95700688212776,-4.136305327032438
-328.6030385706266,-30.98724384384301
-317.43502830459875,-5.420784823635104
-294.5249755241226,-4.31658844392962
-295.10482324583245,-29.36919550236523
-304.1972462501015,-4.789284495326978
-308.9887728257218,-30.054388781908642
-308.3635743835703,-4.9803303739933655
-334.86640219353313,-6.259823507535845
-315.5968948779706,-30.360865187072168
-354.4087410856754,-32.26150584959397
-311.9117092679518,-5.1468772949637875
-321.55275530988206,-5.6177354085990565
-325.7287039737581,-5.802608078337772
-352.20978755002125,-7.133035026321617
-320.85976208449904,-30.60469216137536
-334.71465558873183,-31.27520633434435
-329.23047261127516,-5.981650269073441
-338.88916707187894,-6.452899501982458
-341.28946327004496,-31.601163443775345
-380.1106657547133,-33.48026067373794
-343.0709541045598,-6.644765455155783
-369.5609678528278,-7.919938164364691
-346.58863977171416,-6.803274017161526
-346.57887248472554,-31.832916048702053
-356.8445749486903,-7.300763970731319
-360.45984070111354,-32.513894959854426
-361.0461093781421,-7.497529877262817
-386.93072052046335,-8.747794695906233
-367.0610075223034,-32.81244018391767
-405.88651201595917,-34.702397479792936
-364.5955401787067,-7.6544463087139
-373.6614279240222,-8.095109478499538
-377.8346886797226,-8.281776859449899
-404.3343245568278,-9.570124858938648
-372.3781456956991,-33.04385971506048
-386.2788831559002,-33.72006000256968
