,X,Y,Z,Classification
27515,1175004.34,1883389.29,597.82,3
27532,1175004.34,1882894.04,631.66,5
27586,1175004.35,1882874.5,650.91,5
27789,1175004.4000000001,1884926.84,624.23,5
27833,1175004.4000000001,1882915.6600000001,646.23,5
27842,1175004.4000000001,1882706.9000000001,593.4300000000001,2
28905,1175004.6300000001,1883063.71,651.57,5
29179,1175004.69,1883813.82,597.45,3
29357,1175004.73,1884817.1400000001,615.22,6
29647,1175004.78,1883909.49,592.49,2
29786,1175004.8,1883777.9000000001,615.8000000000001,6
29866,1175004.81,1882940.27,622.0600000000001,5
30258,1175004.87,1883012.4100000001,635.94,5
30308,1175004.8800000001,1884124.48,597.1,3
30614,1175004.93,1884733.35,635.12,6
30670,1175004.94,1884931.18,644.37,5
30776,1175004.95,1882732.1600000001,593.62,2
31178,1175005.01,1883705.09,593.19,2
31506,1175005.06,1884745.6,614.91,5
31646,1175005.08,1884792.31,601.62,3
31931,1175005.11,1883695.92,607.04,6
32142,1175005.1400000001,1883964.8800000001,617.08,6
32230,1175005.1500000001,1883321.26,603.38,6
32429,1175005.18,1882973.3900000001,592.76,2
32444,1175005.18,1882664.26,593.25,2
32488,1175005.19,1883060.3800000001,667.54,5
32695,1175005.22,1882954.58,592.94,2
32699,1175005.22,1882891.08,653.67,5
32800,1175005.24,1884778.43,600.95,3
33115,1175005.28,1883050.11,669.74,5
33614,1175005.35,1882584.1,593.82,2
33829,1175005.3900000001,1884771.04,598.33,3
33994,1175005.41,1883062.1,659.12,5
34040,1175005.42,1883780.34,615.36,6
34251,1175005.46,1883796.3800000001,602.51,6
34401,1175005.49,1884801.43,594.24,1
34776,1175005.55,1882947.94,637.7,5
34805,1175005.56,1884718.09,639.5,6
34870,1175005.57,1884427.8,623.5,5
35221,1175005.6300000001,1883108.35,592.98,2
35252,1175005.6400000001,1884791.87,598.9,3
35550,1175005.69,1884762.82,603.08,3
35566,1175005.69,1884430.85,622.09,5
35807,1175005.73,1882915.96,658.48,5
35830,1175005.74,1884635.34,633.13,6
35917,1175005.75,1883041.1400000001,639.13,5
35957,1175005.76,1883392.28,597.51,3
36107,1175005.79,1884067.67,592.32,2
36235,1175005.82,1884556.08,607.0600000000001,4
36661,1175005.8900000001,1882657.86,593.39,2
36925,1175005.95,1884957.57,630.87,5
37096,1175005.98,1884282.21,591.97,2
37261,1175006.0,1883051.73,668.61,5
