landmark_x,landmark_y
-19.913450726344887,15.006567598310001
-17.061599416883343,15.00448750528733
-14.209748107421797,15.002407412264656
-11.357896797960251,15.000327319241984
-8.506045488498707,14.998247226219313
-5.654194179037162,14.99616713319664
-2.8023428695756145,14.994087040173968
0.04950843988592979,14.992006947151296
2.901359749347474,14.989926854128623
5.753211058809018,14.987846761105951
8.605062368270563,14.985766668083278
11.45691367773211,14.983686575060606
14.308764987193658,14.981606482037934
17.160616296655203,14.97952638901526
20.01246760611675,14.97744629599259
23.75003344593441,7.71035568848784
22.032741472046993,11.728922991702284
19.160336485434243,15.958974503203027
18.909683102467973,16.173712808934972
19.73716851414728,15.034217082955164
18.641958060202626,16.317426363418498
19.016416079569577,15.793948031839504
18.930275209887654,15.769595010739925
17.503638772078453,17.22571982161007
18.427231039939937,16.038582385650745
18.016660131789923,16.307373849564513
18.05585561578451,16.024127074672148
17.708449247100265,16.145117048701017
17.067023829482117,16.55650799853134
17.387449331414956,15.881030172763149
17.340985450594815,15.584968218530936
-23.165863287805927,13.794440827377002
-23.57240154478557,13.632373825016836
12.638698628042182,15.553313839067718
10.568028969973732,15.648763688104337
7.5550793269219225,15.405495804148913
6.82462981122663,15.002344913789253
1.6737665782101114,15.178901350276254
0.35123004041231753,15.190520601477724
-1.760916494029684,14.782425408263165
-4.133802827374293,14.651794011242885
-9.420998837540012,14.659042922298472
-12.441713256790493,14.771137845896408
-14.043108318148604,14.339185953382618
-14.911572923563352,14.173992798934668
-18.464687766491544,14.029536709203766
-20.214222482054716,14.071482623848787
-22.941272483348556,13.833842747019851
-29.686274771050613,-15.520148754290629
-28.128335991347818,-16.54777716088154
-31.414476054181137,-16.62616564905391
-34.97436631049463,-16.85574232472358
-37.681324765063486,-16.885621813253593
-40.15632849044934,-16.975409997885784
-41.375524375808254,-17.02697626667686
-43.689662466401636,-17.187689142480913
-46.17513169278091,-17.254861807275013
-50.80769993122036,-17.59840499560447
-52.18413280047514,-17.525875490606953
-53.3307682072182,-17.63334740063668
-59.350235245408555,-17.91675953407748
-60.51237948631055,-18.02649025751527
-61.797786970701935,-18.00539627079462
-68.43764920993245,-18.263205612435883
-70.82634938105306,-18.401008942701182
-71.38685114177336,-18.479384458629543
-75.01751850610229,-18.641657913180776
-78.03296765676012,-18.78945661697379
-80.38276273820418,-18.95361885198934
-81.63130004882701,-18.960780433514635
-84.04219199325351,-19.081850184348898
-86.42723948201471,-19.208046209100306
-91.25881164618205,-19.451448144649206
-92.43775344044019,-19.52641169100846
-93.63098007294833,-19.588726106990602
-99.68115513767172,-19.874489351873482
-100.84959209515962,-19.952591024920935
-102.06942969995828,-19.993581152591577
-108.69387811628961,-20.332649512883158
-111.11581171909056,-20.443545208196333
-111.71596170191873,-20.46629440137952
-115.34952114345656,-20.628853965612677
-118.34725782951216,-20.797405917762713
-120.77849117255215,-20.8848707545509
-121.96841765724828,-20.976177247170043
-124.37806047269862,-21.085393895352652
-126.77798276206768,-21.216266498753303
-131.60216214563565,-21.44375847106566
-132.8128018227748,-21.498768542598366
-134.02085076152127,-21.55439509038497
-140.0402499853226,-21.84384345736467
-141.2475786154617,-21.906588259002653
-142.46543674088667,-21.961622244703392
-149.07755289499605,-22.29057431726043
-151.49026328552466,-22.41546206180087
-152.08137824672778,-22.44135593102715
-155.68020656446822,-22.615244201820833
-158.6670427017894,-22.77741186439477
-161.07444730378356,-22.895511794632718
-162.28322496155556,-22.94595237459299
-164.679510482741,-23.08200120669374
-167.07121239883884,-23.20768277205704
-171.88001795195993,-23.45280146342336
-173.06207746866312,-23.490157417651854
-174.26506220803662,-23.562985382272643
-180.29719635649488,-23.839716884889636
-181.49825024743413,-23.911807187325767
-182.68041288889253,-23.969942868493508
-189.32765299936912,-24.278612771078272
-191.7474164048596,-24.393636549617273
-192.3573192414448,-24.4235440211365
-195.98197394997834,-24.617224316057023
-199.02851166878887,-24.74223248050536
-201.46148145622874,-24.841412503125106
-202.64807543980615,-24.916582647689406
-205.07835366119465,-25.04256901397199
-207.50460785900785,-25.15869469770949
-212.32601322609102,-25.38995197020349
-213.52703230343224,-25.4498803169676
-214.7362508550685,-25.496993745410578
-220.76298544601923,-25.792528565975097
-221.963491762011,-25.85850831393099
-223.1715527573148,-25.900175150936526
-229.77590804758879,-26.230853931504143
-232.1951888866059,-26.339337854401784
-232.7965172997786,-26.37728331563042
-236.39216624838699,-26.551581646190233
-239.40703896852244,-26.692660699435876
-241.83233477174912,-26.80442167091748
-242.99760337430652,-26.88525328854189
-245.43943357403566,-26.980700224481698
-247.8338790891466,-27.097502963930165
-252.63349428928237,-27.32057314671081
-253.84615767588207,-27.396435441518577
-255.0377418779149,-27.44070496568535
-261.0581664085919,-27.742544069834267
-262.2436486136124,-27.80392269248851
-263.46014563975524,-27.860465777864768
-270.07261475566156,-28.16150236876445
-272.4726309763601,-28.27993542760172
-273.05460889225316,-28.321537393114024
-276.6722439190675,-28.489899861988263
-279.6939821681124,-28.62784724590468
-282.0839100650327,-28.754041267664558
-283.2794062467983,-28.80277260249639
-285.6720279178766,-28.926496870791777
-288.06440249086666,-29.036936766733557
-292.828913513144,-29.27889620699418
-294.0456077029537,-29.321687486307344
-295.2651490285266,-29.3778593295046
-301.2464341023432,-29.672914328791723
-302.46136887651426,-29.72225231152772
-303.66275709451605,-29.78041731297403
-310.27812541161626,-30.109975892289732
-312.679848134302,-30.219191771186363
-313.27768898871784,-30.25955833609782
-316.8782300561834,-30.43405588186028
-319.8715597727511,-30.564743563839272
-322.27203774104834,-30.690800939743706
-323.4764192853056,-30.752481628464455
-325.8815725284785,-30.848910697919603
-328.2670023434382,-30.984602793174833
-333.0428526614244,-31.209717704700132
-334.2507398089391,-31.265417626892535
-335.43667897055263,-31.317937220926492
-341.39366598994803,-31.614989056474442
-342.6133352679908,-31.67729358260431
-343.79893784160123,-31.71452675509069
-350.3722232335058,-32.04785915829564
-352.77226019284285,-32.15056918311501
-353.36323690789925,-32.19024517586312
-356.9751016287585,-32.346206194192675
-359.97864542308116,-32.47662260512435
-362.3471569348036,-32.6069175013365
-363.5381043848721,-32.66670533898656
-365.9408561038941,-32.77023240092056
-368.34535403477025,-32.888227312513145
-373.1499968638014,-33.10216791865707
-374.33289419749923,-33.17655698466123
-375.54130742811884,-33.23581241317081
-381.55485199449316,-33.501023950054986
-382.75622093476073,-33.56862589330174
-383.9631133814413,-33.61838061455562
-390.54884473447294,-33.9138692316874
-392.94726034759503,-34.0430305038104
-393.53795077197003,-34.05917199819628
-397.14973514070255,-34.24766364228431
22.923048945002137,-9.991288848693724
19.652729428466998,-9.991288848693724
16.382409911931855,-9.991288848693724
13.112090395396717,-9.991288848693724
9.841770878861576,-9.991288848693724
6.571451362326435,-9.991288848693724
3.3011318457912964,-9.991288848693724
0.03081232925615396,-9.991288848693724
-3.239507187278985,-9.991288848693724
-6.509826703814124,-9.991288848693724
